Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total subvención (€),Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1999,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"DOTACIÓN DE AGUA POTABLE PARA 10 COMUNIDADES DE LOS MUNICIPIOS DE CACAOPERA Y LOLOTIQUILLO, DEPARTAMENTO DE MORAZÁN",,"149,712.12",No,1,1999,"149,712.12",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"CONSTRUCCIÓN DE LOS PUENTES COMBALÍ Y PUSCAGUA, EN EL MUNICIPIO DE OROCUINA",,"250,363.61",No,1,1999,"250,363.61",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"RECONSTRUCCIÓN DE INFRAESTRUCTURA VIAL EN LOS MUNICIPIOS DE LIURE Y SOLEDAD, DEPARTAMENTO DE EL PARAISO",,"405,707.21",No,1,1999,"405,707.21",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Nicaragua,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"CONSTRUCCIÓN DE DOS PUESTOS DE SALUD EN LAS COMUNIDADES DE LAS BRISAS Y EL YARAJE, NUEVA SEGOVIA",,"104,095.30",No,1,1999,"104,095.30",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Nicaragua,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"RECONSTRUCCIÓN DE INFRAESTRUCTURAS ESCOLARES EN LAS COMUNIDADES EL VOLCÁN, APANINGUEL Y LA QUEMAZÓN, NUEVA SEGOVIA",,"94,130.52",No,1,1999,"94,130.52",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"AMPLIACIÓN DE LA FRONTERA AGRÍCOLA, CONSTRUCCIÓN DEL CANAL TUPAC AMARU",,"78,377.99",No,1,1999,"78,377.99",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION CULTURAL PRIVADA CANOVAS DEL CASTILLO,CANOVAS DEL CASTILLO,"PROGRAMA DE EQUIPAMIENTO Y APOYO TÉCNICO PARA LA FORMACIÓN DE FORMADORES DEL HOTEL ESCUELA DEL CENTRO INTEGRAL ""MADRID""",,"412,841.22",No,1,1999,"412,841.22",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Paraguay,FUNDACION CULTURAL PRIVADA CANOVAS DEL CASTILLO,CANOVAS DEL CASTILLO,ATENCIÓN SANITARIA DE LA POBLACIÒN RURAL INDÍGENA DEL DEPARTAMENTO DE SAN PEDRO,,"316,691.31",No,1,1999,"316,691.31",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CARITAS ESPAÑOLA,CARITAS,ACOGIDA Y ASISTENCIA DE 5.000 REFUGIADOS KOSOVARES EN EL ÁREA DE HAMLLAJ,,"1,382,327.84",No,1,1999,"1,382,327.84",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CARITAS ESPAÑOLA,CARITAS,RECONSTRUCCIÓN DE LAS ESCUELAS DE HOTI Y RAPSHE Y CREACIÓN DE CURSOS PROFESIONALES PAA MUJERES JÓVENES,,"398,996.19",No,1,1999,"398,996.19",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,CARITAS ESPAÑOLA,CARITAS,PROGRAMA DE DESARROLLO Y PROMOCIÓN DE LA MUJER OASIS 1,,"47,978.80",No,1,1999,"47,978.80",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Armenia,CARITAS ESPAÑOLA,CARITAS,REHABILITACIÓN DEL SISTEMA D ECALEFACCIÓN DE UNA ESCUELA DE GYMRI,,"22,838.46",No,1,1999,"22,838.46",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,República Democrática del Congo,CARITAS ESPAÑOLA,CARITAS,CENTRO DE SALUD MENTAL TÉLEMA. ADQUISICIÓN DE EQUIPOS Y MOBILIARIO,,"37,773.61",No,1,1999,"37,773.61",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Egipto,CARITAS ESPAÑOLA,CARITAS,FORMACIÓN DE LAS FAMILIAS EGIPCIAS PAA EDUCAR A SUS HIJOS DISCAPACITADOS PSÍQUICOS,,"233,835.78",No,1,1999,"233,835.78",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Haití,CARITAS ESPAÑOLA,CARITAS,ABASTECIMIENTO DE AGUA POTALE EN FONS-DES-BLANCAS,,"335,364.75",No,1,1999,"335,364.75",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Honduras,CARITAS ESPAÑOLA,CARITAS,MEJORA DE LA HABITABILIDAD Y DEL POTENCIAL ECONÓMICO PARA COLONIA DE DAMNIFICADOS,,"561,237.12",No,1,1999,"561,237.12",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Kenia,CARITAS ESPAÑOLA,CARITAS,CREACIÓN DE LA INFRAESTRUCTURA CÁRITAS GARISSA,,"177,707.26",No,1,1999,"177,707.26",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,CARITAS ESPAÑOLA,CARITAS,REHABILITACIÓN DEL CENTRO DE PROMOCIÓ9N HUMANA DEL GUIUA (INHAMBANE) (AMPLIACIÓN DE PROYECTO),,"26,594.79",No,1,1999,"26,594.79",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CARITAS ESPAÑOLA,CARITAS,DESARROLLO SOSTENIBLE DE ACOBAMBA,,"324,101.79",No,1,1999,"324,101.79",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Túnez,CARITAS ESPAÑOLA,CARITAS,CENTRO PARA LA EDUCACIÓN E INTEGRACIÓN DE DISCAPACITADOS PSÍQUICOS,,"300,698.38",No,1,1999,"300,698.38",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Cuba,FUNDACION CEAR - HABITAFRICA,CEAR,REMODELACIÓN Y ACONDICIONAMIENTO DEL HOSPITAL INFANTIL DOCENTE MARFÁN,,"199,638.19",No,1,1999,"199,638.19",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Gabón,FUNDACION CEAR - HABITAFRICA,CEAR,"CONSTRUCCIÓN ESCUELA DE EDUCACIÓN PRIMARIA EN LENGUA CASTELLANA, SAINT JOSEPH DE LALALA, EN LIBREVILLE",,"221,713.37",No,1,1999,"221,713.37",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Guatemala,FUNDACION CEAR - HABITAFRICA,CEAR,"LETRINIZACIÓN, LA SOLUCIÓN PARA MEJORAR EL SANEAMIENTO AMBIENTAL",,"207,349.18",No,1,1999,"207,349.18",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,FUNDACION CEAR - HABITAFRICA,CEAR,FACILITAR A 2.790 MUJERES Y JÓVENES DE LAS REGIONES DE TAOUNATE Y CHEFCHAOUEN EL ACCESO A FUENTES DE FINANCIACIÓN A TRAVÉS DE LA CREACIÓN DE UN SISTEMA AUTOSOSTENIBLE DE MICROCRÉDITO,,"363,504.14",No,1,1999,"363,504.14",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Mauritania,FUNDACION CEAR - HABITAFRICA,CEAR,"APOYO AL SOSTENIMIENTO Y EXPLOTACIÓN RACIONAL DE LA MARE DE DELL AMA, EN LA REGIÓN DE GORGOL",,"205,594.22",No,1,1999,"205,594.22",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION CEAR - HABITAFRICA,CEAR,REHABILITACIÓN DE SERVICIOS BÁSICOS DE SALUD Y FOMENTO PECUARIO EN GAZA,,"177,256.50",No,1,1999,"177,256.50",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION CEAR - HABITAFRICA,CEAR,REHABILITACIÓN AGRÍCOLA EN CHILEMBENE,,"346,255.09",No,1,1999,"346,255.09",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Senegal,FUNDACION CEAR - HABITAFRICA,CEAR,"PROGRAMA INTEGRAL DE PROMOCIÓN ECONÓMICA Y SOCIAL PARA MUJERES DEL DEPARTAMENTO DE TIVAOUME, REGIÓN DE THIÉS",,"191,939.23",No,1,1999,"191,939.23",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Sudáfrica,FUNDACION CEAR - HABITAFRICA,CEAR,REHABILITACIÓN SOCIAL EN EDUCACIÓN Y SALUD DE COMUNIDADES DESPAÑAZADAS,,"203,526.74",No,1,1999,"203,526.74",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,FUNDACION CEAR - HABITAFRICA,CEAR,REFUERZO DE LAS CAPACIDADES TÉCNICAS Y CREACIÓN DE PLATAFORMAS DE ORGANIZACIÓN PARA 200 CAMPESINOS PALESTINOS,,"70,059.98",No,1,1999,"70,059.98",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Honduras,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,CONSTRUCCIÓN DE VIVIENDAS EN TEGUCIGALPA PARA AFECTADOS POR EL HURACÁN MITCH. EN CONSORCIO CON JOVENES DEL TERCER MUNDO Y FUNDACIÓN CANOVAS,,"2,387,388.36",No,1,1999,"2,387,388.36",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,IRRIGACIÓN AGRÍCOLA Y CAPACITACIÓN PRODUCTIVA PARA DIEZ COMUNIDADES RURALES EN ANDAHUAYLAS,,"498,840.05",No,1,1999,"498,840.05",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PROGRAMA DE DESARROLLO INTEGRAL EN CUATRO COMUNIDADES RURALES DE LA CUENCA ALTA DEL RIMAC,,"210,684.79",No,1,1999,"210,684.79",,,,,,
1999,PROYECTO,AMÉRICA LATINA,República Dominicana,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,LUCHA CONTRA LA MORTALIDAD INFANTIL. DESARROLLO DE LA ESTRATEGIA DE ATENCIÓN INTEGRADA A ENFERMEDADES PREVALENTES DE LA INFANCIA (AIEPI) EN TRES PROVINCIAS,,"203,298.35",No,1,1999,"203,298.35",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,CONSEJO INTERHOSPITALARIO DE COOPERACION,CIC,APOYO AL PROGRAMA NACIONAL DE CIRUGÍA,,"450,759.08",No,1,1999,"450,759.08",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Colombia,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,PROYECTO INTEGRAL DE RECUPERACIÓN EN LA ZONA DE COLOMBIA AFECTADA POR EL TERREMOTO,,"223,624.58",No,1,1999,"223,624.58",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Ecuador,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,"DESARROLLO ECONÓMICO, SOCIAL Y ECOLÓGICO DE MICROEMPRESAS DE ARTESANÍA",,"220,180.78",No,1,1999,"220,180.78",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Guatemala,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,AUTODESARROLLO SOSTENIBLE DEL SECTOR DE PRODUCTORES ARTESANOS INDÍGENAS EN EL QUICHÉ,,"179,071.56",No,1,1999,"179,071.56",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,CENTRO DE FORMACIÓN PARA NIÑOAS DE LA CALLE EN TÁNGER,,"318,921.06",No,1,1999,"318,921.06",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Nicaragua,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,DESARROLLO HUMANO INTEGRAL Y AUTOSOSTENIBLE EN CHINANDEGA,,"311,925.28",No,1,1999,"311,925.28",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,CONSOLIDACIÓN Y EXPANSIÓN DE MICROEMPRESAS LÍDERES EN EL EXTRARRADIO DE LIMA,,"252,004.38",No,1,1999,"252,004.38",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Colombia,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,CAPACITACIÓN PARA LA INSERCIÓN LABORAL DE JÓVENES EN MEDELLÍN,,"106,383.22",No,1,1999,"106,383.22",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Costa Rica,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,DESARROLLO DE INFRAESTRUCTURA SANITARIA EN ZONAS FRONTERIZAS,,"408,760.35",No,1,1999,"408,760.35",,,,,,
1999,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,CONSTRUCCIÓN DE VIVIENDAS PAA DAMNIFICADOS POR LA TORMENTA TROPICAL MITCH,,"518,673.45",No,1,1999,"518,673.45",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,ONG RESCATE INTERNACIONAL (antes COMITE INTERNACIONAL DE RESCATE ESPAÑA),CIR,INICIATIVAS COMUNITARIAS Y FORTALECIMIENTO DE LA SOCIEDAD CIVIL,,"150,194.75",No,1,1999,"150,194.75",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Bosnia-Herzegovina,ONG RESCATE INTERNACIONAL (antes COMITE INTERNACIONAL DE RESCATE ESPAÑA),CIR,"ESTÍMULO DE LA ECONOMÍA LOCAL EN GORAZDE, RUDO Y CÁJNICE A TRAVÉS DE LA CREACIÓN DE EMPLEO Y EL DESARROLLO DEL SECTOR AGROPECUARIO PRIVADO, PARA APOYAR EL PROCESO DE RETORNO Y REINTEGRACIÓN DE LAS MINORÍAS ÉTNICAS DESPLAZADAS",,"469,925.35",No,1,1999,"469,925.35",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Bosnia-Herzegovina,ONG RESCATE INTERNACIONAL (antes COMITE INTERNACIONAL DE RESCATE ESPAÑA),CIR,"APOYO AL RETORNO SOSTENIBLE: REHABILITACIÓN DEL COLEGIO BRISTOVI, MUNICIPALIDAD DE BUGOJNO",,"232,844.11",No,1,1999,"232,844.11",,,,,,
1999,PROYECTO,SIN DETERMINAR,Varios,CONFEDERACION COORDINADORA ESTATAL DE MINUSVALIDOS FISICOS DE ESPAÑA,COCEMFE,FORMACIÓN DE GESTORES DE ORGANIZACIONES DE PERSONAS CON DISCAPACIDAD,,"71,520.44",No,1,1999,"71,520.44",,,,,,
1999,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION CODESPA,CODESPA,FINANCIAMIENTO Y CAPACITACIÓN A LA PEQUEÑA EMPRESA RURAL DEL VALLE DE SAN ANDRÉS,,"398,368.85",No,1,1999,"398,368.85",,,,,,
1999,PROYECTO,ESPAÑA,España,FUNDACION CODESPA,CODESPA,AUDIOVISUAL SOBRE COOPERACIÓN INTERNACIONAL PARA CENTROS DE SECUNDARIA,,"69,675.33",No,1,1999,"69,675.33",,,,,,
1999,PROYECTO,ASIA,Filipinas,FUNDACION CODESPA,CODESPA,MEJOAMIENTO DE LOS PROGRAMA S DE CAPACITACIÓN EN TECNOLOGÍA INDUSTRIAL DE CITE,,"219,830.86",No,1,1999,"219,830.86",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,FUNDACION CODESPA,CODESPA,"CENTRO ASISTENCIAS DE APOYO A LA POBLACIÓN DEL BARRIO DE BABOULA, TETUÁN",,"210,949.24",No,1,1999,"210,949.24",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,FUNDACION CODESPA,CODESPA,APOYO AL PROGRAMA DE MICROCRÉDITO DE LA FUNDACIÓN DEL BANCO POPULAR PARA LA CREACIÓN DE EMPRESAS,,"970,862.93",No,1,1999,"970,862.93",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,ASSOCIACIO COOPERACCIO,COOPERACCIO,APOYO A LA POBLACIÓN KOSOVAR REFUGIADA,,"360,607.26",No,1,1999,"360,607.26",,,,,,
1999,PROYECTO,ESPAÑA,España,ASSOCIACIO COOPERACCIO,COOPERACCIO,"FORO II SOBRE DERECHOS HUMANOS NORTE/SUR, LOS DERECHOS DE LA CIUDADANÍA, DE LA MUJER Y DEL NIÑO",,"35,069.06",No,1,1999,"35,069.06",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Nicaragua,ASSOCIACIO COOPERACCIO,COOPERACCIO,AUTOCONSTRUCCIÓN DE VIVIENDAS Y REACTIVACION PRODUCTIVA EN LA COMUNIDAD RURAL DE CAYANLIPE,,"413,832.89",No,1,1999,"413,832.89",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,"FUNDACION PARA LA COMUNION, PROMOCIÓN, DESARROLLO Y LIBERACION",COPRODELI,DESARROLLO INSTITUCIONAL Y MEJORA DE LA CALIDAD EDUCATIVA EN SIETE COLEGIOS DEL CALLAO,,"120,202.42",No,1,1999,"120,202.42",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ASENTAMIENTO DE REFUGIADOS ALBANO-KOSOVARES EN HAMALLAJ,,"1,382,327.84",No,1,1999,"1,382,327.84",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ASISTENCIA Y EQUIPAMIENTO DE DOS RESIDENCIAS PARA PERSONAS MAYORES,,"101,294.58",No,1,1999,"101,294.58",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,REHABILITACIÓN DE LA GUARDERÍA INFANTIL DE MEMALIAJ,,"43,711.61",No,1,1999,"43,711.61",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,DESARROLLO INTEGRAL DE LA COMUNIDAD DE LESHANE,,"1,118,166.50",No,1,1999,"1,118,166.50",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Albania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,APOYO AL RETORNO DE LOS REFUGIADOS KOSOVARES ACOGIDOS EN ESPAÑA Y PROCEDENTES DEL ASENTAMIENTO DE HAMALLAJ,,"1,473,782.98",No,1,1999,"1,473,782.98",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Bosnia-Herzegovina,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ATENCIÓN PSICO-SOCIAL PARA NIÑOS AFECTADOS POR CONFLICTOS ARMADOS,,"105,177.12",No,1,1999,"105,177.12",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Bulgaria,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,CENTRO ASISTENCIAL PARA PERSONAS MAYORES PLOVDIV,,"221,623.21",No,1,1999,"221,623.21",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Cabo Verde,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ALFABETIZACIÓN Y FORMACIÓN B´`ASICA DE ADULTOS,,"79,339.61",No,1,1999,"79,339.61",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Cuba,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,"MEJORA DEL APRENDIZAJE Y TRABAJO DE LOS DISCAPACITADOS EN VILLA CLARA,",,"141,712.64",No,1,1999,"141,712.64",,,,,,
1999,PROYECTO,ASIA,Filipinas,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,SALUD Y DESARROLLO COMUNITARIO DE POBLACIONES INDÍGENAS,,"527,069.59",No,1,1999,"527,069.59",,,,,,
1999,PROYECTO,ASIA,Filipinas,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,"CENTRO DE ACOGIDA Y FORMACIÓN DE MUJERES MALTRATADAS EN DAVAO DEL SUR, MINDANAO",,"184,829.25",No,1,1999,"184,829.25",,,,,,
1999,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Jordania,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,DIAGNÓSTICO PRECOZ DE LA SORDERA,,"318,193.84",No,1,1999,"318,193.84",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Kazajstan,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,CASA DE ACOGIDA Y ASISTENCIA INTEGRAL PARA NIÑOS DE LA CALLE. ALMA ATA,,"103,596.46",No,1,1999,"103,596.46",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Mali,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,LUCHA CONTRA LA MUTILACIÓN GENITAL FEMENINA,,"258,837.88",No,1,1999,"258,837.88",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,PRORAMA DE PREVENCIÓN Y CONTROL DE LA MALARIA EN COMUNIDADES DEL RÍO NANAY. IQUITOS,,"134,716.86",No,1,1999,"134,716.86",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,"SANEAMIENTO BÁSICO EN LOS ASENTAMIENTOS HUMANOS CÉSAR VALLEJO Y HORTENSIA PARDO. MOLLENDO, AREQUIPA",,"346,609.69",No,1,1999,"346,609.69",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,REHABILITACIÓN Y AMPLIACIÓN DEL SISTEMA DE AGUA POTALBE PARA LA COMUNIDAD DE SANTA CLARA DE NANAY. LORETO,,"225,980.55",No,1,1999,"225,980.55",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Santo Tomé y Príncipe,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,CENTRO DE DÍA PARA ANCIANOS,,"74,765.91",No,1,1999,"74,765.91",,,,,,
1999,PROYECTO,EUROPA ORIENTAL,Uzbekistán,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ESTABLECIMIENTO DE NUEVE CENTROS MÉDICO-SOCIALES RURALES DIFUSORES DE SALUD PREVENTIVA,,"203,989.52",No,1,1999,"203,989.52",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Bolivia,"EDEX KOLETIBOA, CENTRO DE RECURSOS COMUNITARIOS DE BILB AO",EDEX,EDUCACIÓN SOBRE DROGAS CON JÓVENES BOLIVIANOS DE EDUCACIÓN SECUNDARIA,,"170,086.43",No,1,1999,"170,086.43",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Brasil,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,"MEJORA DE LA INFRAESTRUCTURA FÍSICA, ADMINISTRATIVA Y PEDAGÓGICA DE ATENCIÓN A NIÑOS DE LA CALLE",,"100,332.96",No,1,1999,"100,332.96",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,PROGRAMA DE FORMACIÓN DE FORMADORES E INCREMENTO DE LA OFERTA EDUCATIVA,,"396,079.00",No,1,1999,"396,079.00",,,,,,
1999,PROYECTO,ESPAÑA,España,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,CAMPAÑA DE EDUCACIÓN PARA EL DESARROLLO. JÓVENES COMO TÚ,,"94,725.52",No,1,1999,"94,725.52",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Panamá,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,PROGRAMA DE DESARROLLO INTEGRAL DE LAS COMUNIDADES DE LA REGIÓN INDÍGENEA DEL DARIÉN,,"250,195.33",No,1,1999,"250,195.33",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Paraguay,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,PROGRAMA DE CAPACITACIÓN DE DOCENTRES E INCREMENTO DE LA ESTRUCURA EDUCATIVA,,"547,209.50",No,1,1999,"547,209.50",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE LA CAPACITAD TÉCNICO-PEDAGÓGICA ADAPTADO A LA REFORMA EDUCATIA PERUANA,,"552,372.19",No,1,1999,"552,372.19",,,,,,
1999,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,ABASTECIMIENTO DE AGUA POTABLE A CUATRO COMUNIDADES RURALES DE EL SALVADOR (SEGUNDA FASE),,"221,875.64",No,1,1999,"221,875.64",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Guatemala,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,"APOYO AL DESARROLLO PRODUCTIVO DE LA COMUNIDAD EL TRIUNFO 25 DE SEPTIEMBRE (CPR DE LA SIERRA), REALHULEU",,"398,873.70",No,1,1999,"398,873.70",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Guatemala,EDUCACION SIN FRONTERAS - ESPAÑA,ESF,EDICIÓN DE TEXTOS Y FORMACIÓN PARA EL DESARROLLO INTEGRAL DE LAS COMUNIDADES RURALES MAYAS,,"264,589.57",No,1,1999,"264,589.57",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Perú,EDUCACION SIN FRONTERAS - ESPAÑA,ESF,FORMACIÓN Y ORGANIZACIÓN DE JÓVENES EMPRESARIOS. CUSCO,,"207,583.57",No,1,1999,"207,583.57",,,,,,
1999,PROYECTO,AMÉRICA LATINA,Bolivia,FUNDACION DE AYUDA CONTRA LA DROGADICCION,FAD,"PROGRAMAS DE PREVENCIÓN INTEGRAL, DIRIGIDOS A J´`OVENES VULNERABLES PERTENCIENTES A TRES ZONAS DIFERENCIADAS DE LA CIUDAD DE GUAYARAMERIN-BENI",,"160,824.83",No,1,1999,"160,824.83",,,,,,
1999,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,APOYO AL SANEAMIENTO AMBIENTAL COMUNITARIO EN LOS KILÓMETROS 12 Y 14 DEL MUNICIPIO DE VIANA,,"384,647.75",No,1,1999,"384,647.75",,,,,,
