Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total,Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1996,PROYECTO,AMÉRICA LATINA,Colombia,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,"PROGRAMA DE ATENCIÓN INTEGRAL PARA NIÑOS DE LA CALLE EN EL SECTOR MARGINAL DE ""JUAN REY""",,185111.73,No,1,1996,185111.73,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,CENTRO DE CAPACITACIÓN AGROPECUARIA PARA GRUPOS CAMPESINOS CON UNIDADES PRODUCTIVAS,,358010.89,No,1,1996,358010.89,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PROGRAMA DE APOYO A LA COMERCIALIZACIÓN DE PRODUCTOS AGROINDUSTRIALES,,177298.57,No,1,1996,177298.57,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PROGRAMA DE REINSERCIÓN DE NIÑOS DE LA CALLE EN EL DISTRITO CERCADO DE LIMA,,258435.2,No,1,1996,258435.2,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,RED DE BOTIQUINES POPULARES EN ZONA ANDINA DE EXTREMA POBREZA,,133947.57,No,1,1996,133947.57,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Uganda,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PREVENCIÓN Y ATENCIÓN INTEGRAL A AFECTADOS POR EL SIDA Y SUS FAMILIAS EN BARRIOS MARGINALES DE KAMPALA,,142019.16,No,1,1996,142019.16,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,CONSEJO INTERHOSPITALARIO DE COOPERACION,CIC,FORMACIÓN DE TÉCNICOS DE ANESTESIA,,180303.63,No,1,1996,180303.63,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,CONSEJO INTERHOSPITALARIO DE COOPERACION,CIC,EXTENSIÓN DE LA TRAUMATOLOGÍA A LOS HOSPITALES RURALES,,246108.45,No,1,1996,246108.45,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Colombia,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,DESARROLLO COMUNITARIO Y AUTOGESTIÓN PARA LA RECUPERACIÓN DE ASENTAMIENTOS MARGINALES EN BOGOTÁ. EN CONSORCIO CON ASOCIACIÓN DE INVESTIGACIÓN Y ESPECIALIZACIÓN SOBRE TEMAS IBEROAMERICANOS (AIETI),,300506.05,No,1,1996,300506.05,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,PROGRAMA INTEGRADO PARA POTENCIAR LA ACCIÓN DE LA SOCIEDAD ESPAÑOLA EN SU NUEVA ETAPA DE COOPERACIÓN. EN CONSORCIO CON ASOCIACIÓN DE INVESTIGACIÓN Y ESPECIALIZACIÓN SOBRE TEMAS IBEROAMERICANOS (AIETI),,54565.89,No,1,1996,54565.89,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,IDENTIFICACIÓN PROYECTOS DE APOYO AL SECTOR MICROEMPRESARIAL EN TAOUNATE. EN CONSORCIO CON ASOCIACIÓN DE INFESTIGACIÓN Y ESPECIALIZACIÓN SOBRE TEMAS IBEROAMERICANOS (AIETI),,16888.44,No,1,1996,16888.44,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Nicaragua,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,DESARROLLO HUMANO Y ECONÓMICO DEL POLO COOPERATIVO DE RANCHERÍAS. EN CONSORCIO CON ASOCIACIÓN DE INVESTIGACIÓN Y ESPECIALIZACIÓN SOBRE TEMAS IBEROAMERICANOS (AIETI),,182707.68,No,1,1996,182707.68,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,CREACIÓN Y PUESTA EN MARCHA DEL CENTRO DE SERVICIOS MICROEMPRESARIALES AYNI. EN CONSORCIO CON AIETI,,162273.27,No,1,1996,162273.27,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,"CENTRO DE COMUNICACION, INVESTIGACION Y DOCUMENTACION ENTRE EUROPA, ESPAÑA Y AMERICA LATINA",CIDEAL,"IDENTIFICACIÓN DE AGENTES ECONÓMICOS PALESTINOS, INVERSIONES PRODUCTIVAS Y CREACIÓN CONJUNTA PYEMES. EN CONSORCIO CON AIETI",,49343.09,No,1,1996,49343.09,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Chile,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROGRAMA DE CONSTRUCCIÓND E 3000 VIVIENDAS SOCIALES PARA FAMILIAS DE ESCASOS RECURSOS,,456458.74,No,1,1996,456458.74,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Colombia,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,CREACIÓN DE UN CENTRO PARA LA DEFENSA DE LOS DERECHOS Y EL DESARROLLO INTEGRAL DE LAS MUJERES,,130419.63,No,1,1996,130419.63,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Costa Rica,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROGRAMA DE DESARROLLO SOCIAL Y HUMANO PARA POBLACIÓN DESPLAZADA Y REFUGIADA,,261921.08,No,1,1996,261921.08,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROBLEMAS GOBERNABILIDAD QUE AFECTAN AL DESARROLLO DEL PAÍS,,286682.77,No,1,1996,286682.77,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROGRAMA DE MEJORA DE LA PRODUCCIÓN Y CAPACITACIÓN MEDIOAMBIENTAL PARA MUJER Y NIÑOS,,191121.85,No,1,1996,191121.85,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,República Dominicana,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,CAPACITACIÓN EN AUTODESARROLLO COMUNITARIO Y SANEAMIENTO AMBIENTAL EN EL BARRIO DE LOS MANGUITOS,,180303.63,No,1,1996,180303.63,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACIO PRIVADA CLINIC PER A LA RECERCA BIOMEDICA,CLINIC,"DESARROLLO, APLICACIÓN Y EVALUACIÓN DE LA VACUNA DE LA MALARIA",,1754955.34,No,1,1996,1754955.34,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Tanzania,FUNDACIO PRIVADA CLINIC PER A LA RECERCA BIOMEDICA,CLINIC,PROGRAMA DE DESARROLLO Y EVALUACIÓN DE LA VACUNA SPF66 PARA SU APLICACIÓN EN CONTROL DE LA MALARIA,,798144.07,No,1,1996,798144.07,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Varios,CONFEDERACION COORDINADORA ESTATAL DE MINUSVALIDOS FISICOS DE ESPAÑA,COCEMFE,FORMACIÓN DE LÍDERES Y RESPONSABLES DE ASOCIACIONES DE PERSONAS DISCAPACITADAS,,59800.7,No,1,1996,59800.7,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,FUNDACION CODESPA,CODESPA,PROGRAMA DE DESARROLLO ALTERNATIVO (FASE III),,296298.97,No,1,1996,296298.97,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,FUNDACION CODESPA,CODESPA,APOYO A PEQUEÑOS PRODUCTORES CAMPESINOS DEL ALTIPLANO BOLIVIANO,,209098.12,No,1,1996,209098.12,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,FUNDACION CODESPA,CODESPA,"CAPACITACIÓN TÉCNICA DE ADULTOS PARA DESARROLLO DE POBLACIONES SUBURBANAS DE EL ALTO, COCHABAMBA Y SANTA CRUZ",,149567.87,No,1,1996,149567.87,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Colombia,FUNDACION CODESPA,CODESPA,"CENTRO DE SERVICIOS BÁSICOS COMUNITARIOS (CSBC) EN EL MUNICIPIO DE YUMBO, VALLE DEL CAUCA",,219970.43,No,1,1996,219970.43,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION CODESPA,CODESPA,"PROGRAMA DE CRÉDITO DIRECTO: DISEÑO DE UNA SOLUCIÓN INTEGRAL (II FASE), GUAYAQUIL",,241486.66,No,1,1996,241486.66,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,FUNDACION CODESPA,CODESPA,EL PLANETA DE LOS JÓVENES SOLIDARIOS,,48080.97,No,1,1996,48080.97,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,FUNDACION CODESPA,CODESPA,INVESTIGACIÓN SOBRE MICROEMPRESAS EN PAÍSES EN VÍAS DE DESARROLLO. FORMACIÓN DE EXPERTOS Y VOLUNTARIOS,,42070.85,No,1,1996,42070.85,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION CODESPA,CODESPA,CAPACITACIÓN Y ASISTENCIA FINANCIERA A MICROEMPRESAS RURALES. DEPARTAMENTOS DE ATLÀNTIDA Y LEMPIRA,,97063.45,No,1,1996,97063.45,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION CODESPA,CODESPA,CRÉDITO Y CAPACITACION A LA MUJER Y JOVEN URBANO Y RURAL MICROEMPRESARIO,,262401.88,No,1,1996,262401.88,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,FUNDACION CODESPA,CODESPA,"DESARROLLO EMPRESARIAL RURAL SOSTENIBLE DE LOS ALTIPLANOS DE ZAMBRANO, MARCALA (PROZASIMA)",,270455.45,No,1,1996,270455.45,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Jordania,FUNDACION CODESPA,CODESPA,FOMENTO EMPLEO FEMENINO EN EL SUR DE JORDANIA_: CENTRO DE FORMACIÓN ARTESANÍA Y PRODUCCIÓN DE JOYERÍA,,270455.45,No,1,1996,270455.45,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,FUNDACION CODESPA,CODESPA,Fortalecimiento del empleo juvenil en Cisjordania mediante programas de capacitación profesional,,300506.05,No,1,1996,300506.05,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Marruecos,FUNDACION CODESPA,CODESPA,CENTRO DE CAPACITACIÓN VOCACIONAL. ATIL,,210354.24,No,1,1996,210354.24,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Nicaragua,FUNDACION CODESPA,CODESPA,FONDO DE CRÉDITO PARA EL DESARROLLO LOCAL,,120202.42,No,1,1996,120202.42,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION CODESPA,CODESPA,MEJORAMIENTO PRODUCCIÓN CAPRINA. DEPARTAMENTO DE LIMA,,232591.68,No,1,1996,232591.68,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION CODESPA,CODESPA,APOYO A LA CAPACITACIÓN TÉCNICA Y FINANCIAMIENTO A PEQUEÑOS AGRICULTORES EN EL VALLE DE CAÑETE,,343177.91,No,1,1996,343177.91,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,FUNDACION CODESPA,CODESPA,FORTALECIOMIENTO DE EMPLEO JUVENIL EN CISJORADANIA MEDIANTE PROGRAMAS DE CAPACITACIÓN PROFESIONAL,,300506.05,No,1,1996,300506.05,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Túnez,FUNDACION CODESPA,CODESPA,CENTRO PARA LA FORMACIÓN EN TÉCNICAS DE EDUCACIÓN INFORMAL,,270455.45,No,1,1996,270455.45,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Venezuela,FUNDACION CODESPA,CODESPA,FORTALECIMIENTO DE UNIDADES DE CONSUMO DE ALIMENTOS EN SECTORES POPULARES,,156263.15,No,1,1996,156263.15,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Nicaragua,CONCERTACION/S,CONCERTACIÓN/S,APOYO A LOS PEQUEÑOS PRODUCTORES AGROPECUARIOS DE ESQUIPULAS. DEPARTAMENTO DE MATAGALPA. EN CONSORCIO CON MUGARIK GABE,,416333.1,No,1,1996,416333.1,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,ASSOCIACIO COOPERACCIO,COOPERACCIO,DESARROLLO DE PRODUCCIÓN ACUÍCOLA SOSTENIBLE EN LA AAMAZONIA BOLIVIANA,,82903.61,No,1,1996,82903.61,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,ASSOCIACIO COOPERACCIO,COOPERACCIO,UN MUNDO QUE SE MUEVE… PROYECTO DE SENSIBILIZACIÓN Y EDUCACIÓN PARA EL DESARROLLO,,50485.02,No,1,1996,50485.02,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Haití,ASSOCIACIO COOPERACCIO,COOPERACCIO,"PROGRAMA DE SEMILLAS E INSUMOS AGRÍCOLAS NIPPES, FASE DE FORTALECMIENTO EXTENSIÓN",,128075.68,No,1,1996,128075.68,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,ASSOCIACIO COOPERACCIO,COOPERACCIO,APOYO A LA MICROEMPRESA RURAL DE MARCALA Y LA ESPERANZA,,203556.79,No,1,1996,203556.79,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,COORDINADORA DE ORGANIZACIONES NO GUBERNAMENTALES PARA EL DESARROLLO DE ESPAÑA,COORDINADORA DE ONGD,"ACTIVIDADES DE FORMACIÓN, DINAMIZACIÓN Y SENSIBILIZACIÓN DE LA COORDINADORA 1996-1997",,54091.09,No,1,1996,54091.09,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Angola,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,CENTRO NACIONAL DE CAPACITACIÓN DE VIANA,,258435.2,No,1,1996,258435.2,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Costa Rica,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,SALUD Y DESARROLLO COMUNITARIO. ABASTECIMIENTO DE AGUA Y FORMACIÓN COMUNITARIA,,121470.56,No,1,1996,121470.56,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,"PROGRAMA DE DESARROLLO COMUNITARIO, COMUNIDAD LA MOYA",,106577.48,No,1,1996,106577.48,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,PROGRAMA DE DESARROLLO COMUNITARIO EN SAN PEDRO DE TUNSHI,,95903.5,No,1,1996,95903.5,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Haití,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,REESTRUCTURACION Y EXPANSIÓN DEL SERVICIO DE AMBULANCIAS,,210354.24,No,1,1996,210354.24,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Honduras,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,ABASTECIMIENTO DE AGUA POTABLE A LA COMUNIDAD DE LANGUE,,158066.18,No,1,1996,158066.18,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Varios,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,MEJORA DE LA SEGURIDAD TRANSFUSIONAL EN PAÍSES DE HISPANOAMÉRICA,,133424.69,No,1,1996,133424.69,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Nicaragua,CRUZ ROJA ESPAÑOLA,CRUZ ROJA,SALUD Y DESARROLLO COMUNITARIO,,197732.98,No,1,1996,197732.98,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS EN ZONAS DE ALTA EMERGENCIA,,134428.38,No,1,1996,134428.38,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Guatemala,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,CAPACITACIÒN DE MAESTROS DE ÁREAS MARGINALES,,40989.03,No,1,1996,40989.03,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Guatemala,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,REHABILITACIÓN DE CENTROS EDUCATIVOS DE FE Y ALEGRIA,,115226.04,No,1,1996,115226.04,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Varios,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,175796.04,No,1,1996,175796.04,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Paraguay,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,PROGRAMA RURAL EDUCACIÓN BILINGÜE INTERCULTURAL DE ADULTOS POR RADIO,,272859.5,No,1,1996,272859.5,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Paraguay,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,93325.16,No,1,1996,93325.16,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE LOS SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,114643.06,No,1,1996,114643.06,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Venezuela,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,271957.98,No,1,1996,271957.98,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Venezuela,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DESARROLLO DE LOS SERVICIOS EDUCATIVOS POPULARES EN ZONAS DE ALTA EMERGENCIA,,103602.47,No,1,1996,103602.47,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Guatemala,ASOCIACION ENTREPUEBLOS,ENTREPUEBLOS,"CONSTRUCCIÓN DE VIVIENDAS PARA NUEVO ASENTAMIENTO DE LA COOPERATIVA ""LOS PINOSW, FINCA CHACULA",,354597.14,No,1,1996,354597.14,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,EDUCACION SIN FRONTERAS - ESPAÑA,ESF,"COMUNIDAD EDUCATIVA ECONÓMICA ""LA FLORESTA"". COMUNIDAD AGRARIA DE COLPAPAMPA. COCHABAMBA",,92555.86,No,1,1996,92555.86,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,EDUCACION SIN FRONTERAS - ESPAÑA,ESF,GENERACIÓN DE EMPLEO Y AUTOEMPLEO PARA JÓVENES DE LA CASA LATERR. CUZCO,,245513.44,No,1,1996,245513.44,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Perú,EDUCACION SIN FRONTERAS - ESPAÑA,ESF,PROGRAMA EDUCATIVO PARA EL DESARROLLO RURAL DEL DEPARTAMENTO DE PIURA,,252425.08,No,1,1996,252425.08,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Colombia,FUNDACION DE ARTISTAS E INTELECTUALES POR LOS PUEBLOS INDIGENAS DE IBEROAMERICA,FAIPII,PRODUCCIÓN BOVINA EN EL RESGUARDO DE SANTA ROSALÍA,,36247.04,No,1,1996,36247.04,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,"PROYECTO GUARANÍ DE ATENCIÓN A LA SALUD EN PROVINCIAS CHAQUEÑAS DE LUIS CALVO, HERMANOS DE SILES Y CORDILLERA",,601012.1,No,1,1996,601012.1,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Bolivia,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,"PREVENCIÓN Y CONTROL DE LA ENFERMEDAD DE CHAGAS EN MUNICIPIOS DE TOYOLA, ICIA, YAMPAEZ, TARBUCO Y PRESTO",,509628.21,No,1,1996,509628.21,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Burkina Faso,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,CONSTRUCCIÓN Y PUESTA EN MARCHA DE UN HUERTO COLECTIVO PARA MUJERES EN LETIE FESSO,,21780.68,No,1,1996,21780.68,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Burkina Faso,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,"CONSTRUCCIÓN, EQUIPAMIENTO Y PUESTA EN MARCHA DE DEPÓSITOS FARMACÉUTICOS EN LAS LOCALIDADES DE BEKUY, PE, SAR, DOUHOUN, KARI Y BOUAHOUN DEL DEPARTAMENTO DE HOUNDÉ",,45075.91,No,1,1996,45075.91,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Ecuador,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,PROGRAMA DE ORGANIZACIÓN Y APOYO DE UN SISSTEMA DE SALUD LOCAL COMUNITARIO EN EL CANTÓN DE PUCARA,,329354.63,No,1,1996,329354.63,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,El Salvador,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,FORTALECIMIENTO Y AMPLIACIÓN DEL PROGRAMA DE SALUD MATERNO.INFANTIL EN SONSONATE,,260839.25,No,1,1996,260839.25,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,EDUCAR PARA EL DESARROLLO Y LA COOPERACIÓN,,42070.85,No,1,1996,42070.85,0,0,0,0,0,0
1996,PROYECTO,ESPAÑA,España,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,"""EN BUSCA DEL SUR""",,36060.73,No,1,1996,36060.73,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Malawi,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,APOYO AL SISTEMA DE SALUD DEL ÁREA SANITARIA DE LKALE,,126092.34,No,1,1996,126092.34,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Mauritania,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,IDENTIFICACIÓN Y ELABORACIÓN DEL PROYECTO DE APOYO A LA RED NACIONAL DE ORTOPEDIA Y REHABILITACIÓN FUNCIONAL,,7212.15,No,1,1996,7212.15,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Mauritania,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,APOYO A LA RED NACIONAL DE OROPEDIA Y REHABILITACIÓN FUNCIONAL,,498840.05,No,1,1996,498840.05,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Población Saharaui,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,APOYO AL LABORATORIO DE PRODUCCIÓN DE MEDICAMENTOS DEL PUEBLO DE TINDOUF,,296899.98,No,1,1996,296899.98,0,0,0,0,0,0
1996,PROYECTO,ÁFRICA SUBSAHARIANA,Togo,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,"DESARROLLO PROGRAMA SANITARIO AUTOSOSTENIBLE DE CASAS DE SALUD, ALDEAS, RURALES, REGIÓN DE KARA",,138232.78,No,1,1996,138232.78,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Túnez,FEDERACION DE ASOCIACIONES DE MEDICUS MUNDI EN ESPAÑA,FAMME,EDUCACIÓN SANITARIA PARA LAS MUJERES DE HAY ETTADHAMEN,,165278.33,No,1,1996,165278.33,0,0,0,0,0,0
1996,PROYECTO,AMÉRICA LATINA,Nicaragua,FARMACEUTICOS MUNDI,FARMACEUTICOS MUNDI,SALUD PARA TODOS,,64356.38,No,1,1996,64356.38,0,0,0,0,0,0
1996,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Argelia,FEDERACIÓN DE MUJERES PROGRESISTAS,FED MUJERES PROGRESISTAS,COMPROMISO DE MUJERES PARA EL DESARROLLO,,119529.29,No,1,1996,119529.29,0,0,0,0,0,0
1997,PROYECTO,ESPAÑA,España,CENTRO DE INFORMACION Y DOCUMENTACION AFRICANAS,CIDAF,LEOPOLDO SEDAR SENGHOR,,56344.88,No,1,1997,56344.88,0,0,0,0,0,0
